Time,Type,Amount,Symbol
2026-04-09 20:00:00,Funding fee,-0.35465729 USDT,REDUSDT
2026-04-09 20:00:00,Funding fee,-6.23312852 USDT,ENJUSDT
2026-04-09 19:00:00,Funding fee,-0.48635257 USDT,REDUSDT
2026-04-09 19:00:00,Funding fee,-5.51524017 USDT,ENJUSDT
2026-04-09 18:00:00,Funding fee,-0.49369373 USDT,REDUSDT
2026-04-09 18:00:00,Funding fee,-4.96017227 USDT,ENJUSDT
2026-04-09 17:00:00,Funding fee,-0.34861084 USDT,REDUSDT
2026-04-09 17:00:00,Funding fee,-2.59629779 USDT,ENJUSDT
2026-04-09 16:00:00,Funding fee,-0.34387562 USDT,REDUSDT
2026-04-09 16:00:00,Funding fee,-1.11237892 USDT,ENJUSDT
2026-04-09 15:00:00,Funding fee,-0.33483140 USDT,REDUSDT
2026-04-09 15:00:00,Funding fee,-1.29160698 USDT,ENJUSDT
2026-04-09 14:00:00,Funding fee,-0.46669871 USDT,REDUSDT
2026-04-09 14:00:00,Funding fee,-0.78973241 USDT,ENJUSDT
2026-04-09 13:00:00,Funding fee,-0.43097068 USDT,REDUSDT
2026-04-09 13:00:00,Funding fee,-1.23950329 USDT,ENJUSDT
2026-04-09 12:00:00,Funding fee,-0.51502788 USDT,REDUSDT
2026-04-09 12:00:00,Funding fee,-1.13648819 USDT,ENJUSDT
2026-04-09 11:00:00,Funding fee,-0.56154051 USDT,REDUSDT
2026-04-09 11:00:00,Funding fee,-1.31088843 USDT,ENJUSDT
2026-04-09 10:00:00,Funding fee,-0.52969440 USDT,REDUSDT
2026-04-09 09:00:00,Funding fee,-0.58369676 USDT,REDUSDT
2026-04-09 08:00:00,Funding fee,-0.87347700 USDT,REDUSDT
2026-04-09 07:00:00,Funding fee,-0.81453182 USDT,REDUSDT
2026-04-09 06:00:00,Funding fee,-1.57664349 USDT,REDUSDT
2026-04-09 05:00:00,Funding fee,-1.08217278 USDT,REDUSDT
2026-04-09 04:00:00,Funding fee,-0.54839368 USDT,REDUSDT
2026-04-09 03:00:00,Funding fee,-0.46666610 USDT,REDUSDT
2026-04-09 02:00:00,Funding fee,-0.55391453 USDT,REDUSDT
2026-04-09 01:00:00,Funding fee,-0.48294916 USDT,REDUSDT
2026-04-09 00:00:00,Funding fee,-0.72337855 USDT,REDUSDT
2026-04-08 23:00:00,Funding fee,-0.61888621 USDT,REDUSDT
2026-04-08 22:00:00,Funding fee,-1.05058584 USDT,REDUSDT
2026-04-08 21:00:00,Funding fee,-1.26405472 USDT,REDUSDT
2026-04-08 20:00:00,Funding fee,-1.68180789 USDT,REDUSDT
2026-04-08 20:00:00,Funding fee,-0.09747929 USDT,ENJUSDT
2026-04-08 19:00:00,Funding fee,-1.63320708 USDT,REDUSDT
2026-04-08 19:00:00,Funding fee,-0.11666726 USDT,ENJUSDT
2026-04-08 18:00:00,Funding fee,-1.91843376 USDT,REDUSDT
2026-04-08 18:00:00,Funding fee,-0.05622206 USDT,ENJUSDT
2026-04-08 17:00:00,Funding fee,-1.87587431 USDT,REDUSDT
2026-04-08 17:00:00,Funding fee,-0.00213535 USDT,ENJUSDT
2026-04-08 16:00:00,Funding fee,-2.64549863 USDT,REDUSDT
2026-04-08 16:00:00,Funding fee,-0.01676869 USDT,ENJUSDT
2026-04-08 15:00:00,Funding fee,-2.55893477 USDT,REDUSDT
2026-04-08 15:00:00,Funding fee,-0.03024706 USDT,ENJUSDT
2026-04-08 14:00:00,Funding fee,-2.55290604 USDT,REDUSDT
2026-04-08 14:00:00,Funding fee,-0.07398603 USDT,ENJUSDT
2026-04-08 13:00:00,Funding fee,-2.26242695 USDT,REDUSDT
2026-04-08 13:00:00,Funding fee,0.01029648 USDT,ENJUSDT
2026-04-08 12:00:00,Funding fee,-2.63875288 USDT,REDUSDT
2026-04-08 12:00:00,Funding fee,-0.02831275 USDT,ENJUSDT
2026-04-08 11:00:00,Funding fee,-2.47611657 USDT,REDUSDT
2026-04-08 11:00:00,Funding fee,-0.01357409 USDT,ENJUSDT
2026-04-08 10:00:00,Funding fee,-2.27279059 USDT,REDUSDT
2026-04-08 10:00:00,Funding fee,-0.08477312 USDT,ENJUSDT
2026-04-08 09:00:00,Funding fee,-2.20174320 USDT,REDUSDT
2026-04-08 09:00:00,Funding fee,0.00527438 USDT,ENJUSDT
2026-04-08 08:00:00,Funding fee,-2.04940068 USDT,REDUSDT
2026-04-08 08:00:00,Funding fee,0.00677459 USDT,ENJUSDT
2026-04-08 07:00:00,Funding fee,-2.46794716 USDT,REDUSDT
2026-04-08 07:00:00,Funding fee,0.00998950 USDT,ENJUSDT
2026-04-08 06:00:00,Funding fee,-2.93955939 USDT,REDUSDT
2026-04-08 06:00:00,Funding fee,-0.01260606 USDT,ENJUSDT
2026-04-08 05:00:00,Funding fee,-1.43354913 USDT,REDUSDT
2026-04-08 05:00:00,Funding fee,-0.02653868 USDT,ENJUSDT
2026-04-08 04:00:00,Funding fee,-1.32763336 USDT,REDUSDT
2026-04-08 04:00:00,Funding fee,0.00049809 USDT,ENJUSDT
2026-04-08 03:00:00,Funding fee,-1.53781748 USDT,REDUSDT
2026-04-08 03:00:00,Funding fee,-0.03191447 USDT,ENJUSDT
2026-04-08 02:00:00,Funding fee,-1.65467479 USDT,REDUSDT
2026-04-08 02:00:00,Funding fee,-0.04044187 USDT,ENJUSDT
2026-04-08 01:00:00,Funding fee,-2.06191118 USDT,REDUSDT
2026-04-08 01:00:00,Funding fee,0.00587226 USDT,ENJUSDT
2026-04-08 00:00:00,Funding fee,-2.86169760 USDT,REDUSDT
2026-04-08 00:00:00,Funding fee,-0.03518689 USDT,ENJUSDT
2026-04-07 23:00:00,Funding fee,-3.24983578 USDT,REDUSDT
2026-04-07 23:00:00,Funding fee,-0.03374876 USDT,ENJUSDT
2026-04-07 22:00:00,Funding fee,-5.86394494 USDT,REDUSDT
2026-04-07 22:00:00,Funding fee,-0.07923332 USDT,ENJUSDT
2026-04-07 21:00:00,Funding fee,-2.41291223 USDT,REDUSDT
2026-04-07 21:00:00,Funding fee,-0.00348635 USDT,ENJUSDT
2026-04-07 20:00:00,Funding fee,-2.46278286 USDT,REDUSDT
2026-04-07 20:00:00,Funding fee,0.00955095 USDT,ENJUSDT
2026-04-07 19:00:00,Funding fee,-2.30909769 USDT,REDUSDT
2026-04-07 19:00:00,Funding fee,0.00954038 USDT,ENJUSDT
2026-04-07 18:00:00,Funding fee,-1.66558210 USDT,REDUSDT
2026-04-07 18:00:00,Funding fee,0.00958960 USDT,ENJUSDT
2026-04-07 17:00:00,Funding fee,-1.19748380 USDT,REDUSDT
2026-04-07 17:00:00,Funding fee,0.00076032 USDT,ENJUSDT
2026-04-07 16:00:00,Funding fee,-2.28446593 USDT,REDUSDT
2026-04-07 16:00:00,Funding fee,-0.00586716 USDT,ENJUSDT
2026-04-07 15:00:00,Funding fee,-2.84717911 USDT,REDUSDT
2026-04-07 15:00:00,Funding fee,-0.09014176 USDT,ENJUSDT
2026-04-07 14:00:00,Funding fee,-2.70091735 USDT,REDUSDT
2026-04-07 14:00:00,Funding fee,0.00965302 USDT,ENJUSDT
2026-04-07 14:00:00,Funding fee,-0.04497330 USDT,RLSUSDT
2026-04-07 13:00:00,Funding fee,-4.95846834 USDT,REDUSDT
2026-04-07 13:00:00,Funding fee,0.00969671 USDT,ENJUSDT
2026-04-07 13:00:00,Funding fee,-0.07256627 USDT,RLSUSDT
2026-04-07 12:00:00,Funding fee,0.00972033 USDT,ENJUSDT
2026-04-07 12:00:00,Funding fee,-0.04897090 USDT,RLSUSDT
2026-04-07 11:00:00,Funding fee,0.00970718 USDT,ENJUSDT
2026-04-07 11:00:00,Funding fee,-0.07976089 USDT,RLSUSDT
2026-04-07 10:00:00,Funding fee,0.00975120 USDT,ENJUSDT
2026-04-07 10:00:00,Funding fee,-0.09113996 USDT,RLSUSDT
2026-04-07 09:00:00,Funding fee,0.00979190 USDT,ENJUSDT
2026-04-07 09:00:00,Funding fee,-0.07931662 USDT,RLSUSDT
2026-04-07 08:00:00,Funding fee,0.00981128 USDT,ENJUSDT
2026-04-07 08:00:00,Funding fee,-0.06814908 USDT,RLSUSDT
2026-04-07 07:00:00,Funding fee,-0.04202425 USDT,ENJUSDT
2026-04-07 07:00:00,Funding fee,-0.02067722 USDT,RLSUSDT
2026-04-07 06:00:00,Funding fee,-0.02525053 USDT,ENJUSDT
2026-04-07 06:00:00,Funding fee,-0.00557980 USDT,RLSUSDT
2026-04-07 05:00:00,Funding fee,-0.06657259 USDT,ENJUSDT
2026-04-07 05:00:00,Funding fee,0.00824357 USDT,RLSUSDT
2026-04-07 04:00:00,Funding fee,-0.11430359 USDT,ENJUSDT
2026-04-07 04:00:00,Funding fee,0.00000421 USDT,RLSUSDT
2026-04-07 03:00:00,Funding fee,-0.24689754 USDT,ENJUSDT
2026-04-07 03:00:00,Funding fee,0.00185326 USDT,RLSUSDT
2026-04-07 02:00:00,Funding fee,-0.32516352 USDT,ENJUSDT
2026-04-07 02:00:00,Funding fee,0.00189300 USDT,RLSUSDT
2026-04-07 01:00:00,Funding fee,-0.25182733 USDT,ENJUSDT
2026-04-07 01:00:00,Funding fee,0.01187616 USDT,RLSUSDT
2026-04-07 00:00:00,Funding fee,-0.14850042 USDT,ENJUSDT
2026-04-07 00:00:00,Funding fee,0.03502891 USDT,RLSUSDT
2026-04-06 23:00:00,Funding fee,-0.13968189 USDT,ENJUSDT
2026-04-06 23:00:00,Funding fee,0.02397430 USDT,RLSUSDT
2026-04-06 22:00:00,Funding fee,-0.12853855 USDT,ENJUSDT
2026-04-06 22:00:00,Funding fee,0.02559330 USDT,RLSUSDT
2026-04-06 21:00:00,Funding fee,-0.12098769 USDT,ENJUSDT
2026-04-06 21:00:00,Funding fee,0.02630969 USDT,RLSUSDT
2026-04-06 20:00:00,Funding fee,-0.06208320 USDT,ENJUSDT
2026-04-06 20:00:00,Funding fee,0.01844931 USDT,RLSUSDT
2026-04-06 19:00:00,Funding fee,-0.04975297 USDT,ENJUSDT
2026-04-06 19:00:00,Funding fee,0.00466915 USDT,RLSUSDT
2026-04-06 18:00:00,Funding fee,-0.07362874 USDT,ENJUSDT
2026-04-06 18:00:00,Funding fee,0.00488710 USDT,RLSUSDT
2026-04-06 17:00:00,Funding fee,-0.02236499 USDT,ENJUSDT
2026-04-06 17:00:00,Funding fee,0.01440289 USDT,RLSUSDT
2026-04-06 16:00:00,Funding fee,-0.03090466 USDT,ENJUSDT
2026-04-06 16:00:00,Funding fee,0.01437691 USDT,RLSUSDT
2026-04-06 15:00:00,Funding fee,-0.05737762 USDT,ENJUSDT
2026-04-06 15:00:00,Funding fee,0.06028400 USDT,RLSUSDT
2026-04-06 14:00:00,Funding fee,-0.01117787 USDT,ENJUSDT
2026-04-06 14:00:00,Funding fee,0.06927634 USDT,RLSUSDT
2026-04-06 13:00:00,Funding fee,-0.12418560 USDT,ENJUSDT
2026-04-06 13:00:00,Funding fee,0.09864441 USDT,RLSUSDT
2026-04-06 12:00:00,Funding fee,-0.32574434 USDT,ENJUSDT
2026-04-06 12:00:00,Funding fee,-0.00027811 USDT,POLYXUSDT
2026-04-06 12:00:00,Funding fee,0.10797645 USDT,RLSUSDT
2026-04-06 11:00:00,Funding fee,-0.17113372 USDT,ENJUSDT
2026-04-06 11:00:00,Funding fee,0.03152207 USDT,POLYXUSDT
2026-04-06 11:00:00,Funding fee,0.08420318 USDT,RLSUSDT
2026-04-06 10:00:00,Funding fee,-0.15478818 USDT,ENJUSDT
2026-04-06 10:00:00,Funding fee,0.03134928 USDT,POLYXUSDT
2026-04-06 10:00:00,Funding fee,0.07808078 USDT,RLSUSDT
2026-04-06 09:00:00,Funding fee,-0.12239608 USDT,ENJUSDT
2026-04-06 09:00:00,Funding fee,-0.01209964 USDT,POLYXUSDT
2026-04-06 09:00:00,Funding fee,0.01116539 USDT,RLSUSDT
2026-04-06 08:00:00,Funding fee,-0.09695501 USDT,ENJUSDT
2026-04-06 08:00:00,Funding fee,0.10184232 USDT,POLYXUSDT
2026-04-06 08:00:00,Funding fee,0.03829111 USDT,RLSUSDT
2026-04-06 07:00:00,Funding fee,-0.14542971 USDT,ENJUSDT
2026-04-06 07:00:00,Funding fee,0.17362857 USDT,POLYXUSDT
2026-04-06 07:00:00,Funding fee,-0.12821155 USDT,RLSUSDT
2026-04-06 06:00:00,Funding fee,-0.15511320 USDT,ENJUSDT
2026-04-06 06:00:00,Funding fee,1.49879624 USDT,POLYXUSDT
2026-04-06 06:00:00,Funding fee,-0.17528469 USDT,RLSUSDT
2026-04-06 05:00:00,Funding fee,-0.07020965 USDT,ENJUSDT
2026-04-06 05:00:00,Funding fee,0.12227642 USDT,POLYXUSDT
2026-04-06 05:00:00,Funding fee,-0.28703612 USDT,RLSUSDT
2026-04-06 04:00:00,Funding fee,-0.09150376 USDT,ENJUSDT
2026-04-06 04:00:00,Funding fee,0.03757559 USDT,POLYXUSDT
2026-04-06 04:00:00,Funding fee,-0.25495761 USDT,RLSUSDT
2026-04-06 03:00:00,Funding fee,-0.00051254 USDT,ENJUSDT
2026-04-06 03:00:00,Funding fee,0.04407102 USDT,POLYXUSDT
2026-04-06 03:00:00,Funding fee,-0.33800525 USDT,RLSUSDT
2026-04-06 02:00:00,Funding fee,-0.02965478 USDT,ENJUSDT
2026-04-06 02:00:00,Funding fee,0.19875560 USDT,POLYXUSDT
2026-04-06 02:00:00,Funding fee,-0.26524719 USDT,RLSUSDT
2026-04-06 01:00:00,Funding fee,-0.03059138 USDT,ENJUSDT
2026-04-06 01:00:00,Funding fee,0.08079867 USDT,POLYXUSDT
2026-04-06 01:00:00,Funding fee,-0.21364475 USDT,RLSUSDT
2026-04-06 00:00:00,Funding fee,-0.01909520 USDT,ENJUSDT
2026-04-06 00:00:00,Funding fee,0.09785103 USDT,POLYXUSDT
2026-04-06 00:00:00,Funding fee,-0.17013800 USDT,RLSUSDT
