Time,Type,Amount,Symbol
2026-03-06 03:00:06,Funding fee,-0.06195958 USDT,MANTRAUSDT
2026-03-06 02:00:05,Funding fee,-0.10595380 USDT,MANTRAUSDT
2026-03-06 01:00:05,Funding fee,-0.40326652 USDT,MANTRAUSDT
2026-03-06 00:00:04,Funding fee,-0.45383684 USDT,MANTRAUSDT
2026-03-05 23:00:04,Funding fee,-0.57357438 USDT,MANTRAUSDT
2026-03-05 22:00:04,Funding fee,-0.50598278 USDT,MANTRAUSDT
2026-03-05 21:00:05,Funding fee,-0.40531698 USDT,MANTRAUSDT
2026-03-05 20:00:03,Funding fee,-0.76521921 USDT,MANTRAUSDT
2026-03-05 19:00:04,Funding fee,-0.66067162 USDT,MANTRAUSDT
2026-03-05 18:00:03,Funding fee,-0.93835440 USDT,MANTRAUSDT
2026-03-05 17:00:04,Funding fee,-0.88356691 USDT,MANTRAUSDT
2026-03-05 16:00:03,Funding fee,-1.14009781 USDT,MANTRAUSDT
2026-03-05 15:00:03,Funding fee,-0.96137162 USDT,MANTRAUSDT
2026-03-05 14:00:02,Funding fee,-0.67495209 USDT,MANTRAUSDT
2026-03-05 13:00:03,Funding fee,-0.62661288 USDT,MANTRAUSDT
2026-03-05 12:00:02,Funding fee,-0.62482709 USDT,MANTRAUSDT
2026-03-05 11:00:02,Funding fee,-0.58367232 USDT,MANTRAUSDT
2026-03-05 10:00:02,Funding fee,-0.67614330 USDT,MANTRAUSDT
2026-03-05 09:00:01,Funding fee,-0.52024977 USDT,MANTRAUSDT
2026-03-05 08:00:01,Funding fee,-0.71406961 USDT,MANTRAUSDT
2026-03-05 07:00:01,Funding fee,-0.91987414 USDT,MANTRAUSDT
2026-03-05 06:00:01,Funding fee,-1.50086510 USDT,MANTRAUSDT
2026-03-05 05:00:01,Funding fee,-1.24631511 USDT,MANTRAUSDT
2026-03-05 04:00:01,Funding fee,-0.72876768 USDT,MANTRAUSDT
2026-03-05 03:00:01,Funding fee,-0.75536476 USDT,MANTRAUSDT
2026-03-05 02:00:00,Funding fee,-0.65750805 USDT,MANTRAUSDT
2026-03-05 01:00:00,Funding fee,-0.63689098 USDT,MANTRAUSDT
2026-03-05 00:00:00,Funding fee,-0.97677065 USDT,MANTRAUSDT
2026-03-04 23:00:00,Funding fee,-1.52099331 USDT,MANTRAUSDT
2026-03-04 22:00:00,Funding fee,-0.76121892 USDT,MANTRAUSDT
2026-03-04 21:00:00,Funding fee,-0.92633164 USDT,MANTRAUSDT
2026-03-04 20:00:00,Funding fee,-1.15110547 USDT,MANTRAUSDT
2026-03-04 19:00:00,Funding fee,-0.79601588 USDT,MANTRAUSDT
2026-03-04 18:00:00,Funding fee,-1.07954985 USDT,MANTRAUSDT
2026-03-04 17:00:00,Funding fee,-0.25968498 USDT,MANTRAUSDT
2026-03-04 16:00:00,Funding fee,-0.29987065 USDT,MANTRAUSDT
